Date,ETH-USD
2025-02-13,2675.902587890625
2025-02-14,2726.091552734375
2025-02-15,2693.559814453125
2025-02-16,2663.31591796875
2025-02-17,2743.19970703125
2025-02-18,2669.3388671875
2025-02-19,2715.77099609375
2025-02-20,2740.386474609375
2025-02-21,2659.655517578125
2025-02-22,2764.029296875
2025-02-23,2821.310302734375
2025-02-24,2513.8212890625
2025-02-25,2493.592529296875
2025-02-26,2331.45263671875
2025-02-27,2305.484375
2025-02-28,2237.9052734375
2025-03-01,2216.643310546875
2025-03-02,2519.694580078125
2025-03-03,2145.573974609375
2025-03-04,2170.01513671875
2025-03-05,2241.977294921875
2025-03-06,2202.476806640625
2025-03-07,2138.987548828125
2025-03-08,2201.51025390625
2025-03-09,2015.5091552734375
2025-03-10,1861.1513671875
2025-03-11,1919.844970703125
2025-03-12,1908.982666015625
2025-03-13,1862.9696044921875
2025-03-14,1909.467529296875
2025-03-15,1937.3946533203125
2025-03-16,1887.43505859375
2025-03-17,1927.0029296875
2025-03-18,1932.54345703125
2025-03-19,2057.7490234375
2025-03-20,1982.099853515625
2025-03-21,1964.8475341796875
2025-03-22,1980.037841796875
2025-03-23,2005.2991943359375
2025-03-24,2077.47900390625
2025-03-25,2067.76416015625
2025-03-26,2009.1893310546875
2025-03-27,2002.357421875
2025-03-28,1895.5029296875
2025-03-29,1827.3203125
2025-03-30,1806.2186279296875
2025-03-31,1823.47998046875
2025-04-01,1905.491455078125
2025-04-02,1795.313232421875
2025-04-03,1815.63720703125
2025-04-04,1815.120849609375
