Date,SOL-USD
2024-12-23,189.75369262695312
2024-12-24,196.98902893066406
2024-12-25,197.4790802001953
2024-12-26,188.21810913085938
2024-12-27,183.82847595214844
2024-12-28,195.01353454589844
2024-12-29,189.7442626953125
2024-12-30,191.02804565429688
2024-12-31,189.2644805908203
2025-01-01,193.8737335205078
2025-01-02,207.7670440673828
2025-01-03,217.74732971191406
2025-01-04,216.6229248046875
2025-01-05,213.3936309814453
2025-01-06,218.72312927246094
2025-01-07,202.23025512695312
2025-01-08,197.55905151367188
2025-01-09,185.02528381347656
2025-01-10,187.5791778564453
2025-01-11,187.99551391601562
2025-01-12,188.5603790283203
2025-01-13,182.83535766601562
2025-01-14,187.49859619140625
2025-01-15,205.91134643554688
2025-01-16,211.22784423828125
2025-01-17,219.62161254882812
2025-01-18,261.8697509765625
2025-01-19,250.58636474609375
2025-01-20,242.25022888183594
2025-01-21,250.41378784179688
2025-01-22,257.23736572265625
2025-01-23,253.4552001953125
2025-01-24,253.36122131347656
2025-01-25,256.0735778808594
2025-01-26,240.88345336914062
2025-01-27,235.07444763183594
2025-01-28,227.20396423339844
2025-01-29,227.94493103027344
2025-01-30,239.0231475830078
2025-01-31,231.63790893554688
2025-02-01,213.78501892089844
2025-02-02,203.11962890625
2025-02-03,216.1495819091797
2025-02-04,207.09197998046875
2025-02-05,195.98814392089844
2025-02-06,189.77249145507812
2025-02-07,192.20465087890625
2025-02-08,199.5998992919922
2025-02-09,200.49755859375
2025-02-10,200.35635375976562
2025-02-11,197.98236083984375
2025-02-12,196.7738037109375
2025-02-13,194.46095275878906
2025-02-14,199.9356689453125
2025-02-15,194.48208618164062
2025-02-16,188.4864044189453
2025-02-17,177.6897430419922
2025-02-18,169.08428955078125
2025-02-19,169.01080322265625
2025-02-20,176.04888916015625
2025-02-21,168.89163208007812
2025-02-22,172.16285705566406
2025-02-23,168.03811645507812
2025-02-24,141.98948669433594
2025-02-25,144.10775756835938
2025-02-26,134.83132934570312
2025-02-27,137.6208038330078
2025-02-28,148.03001403808594
2025-03-01,143.6757049560547
2025-03-02,178.49549865722656
2025-03-03,142.02108764648438
2025-03-04,144.9165802001953
2025-03-05,146.26730346679688
2025-03-06,143.355224609375
2025-03-07,139.20913696289062
2025-03-08,136.94207763671875
2025-03-09,126.43543243408203
2025-03-10,118.291748046875
2025-03-11,125.26394653320312
2025-03-12,126.58324432373047
2025-03-13,123.28614807128906
2025-03-14,133.31448364257812
2025-03-15,135.91253662109375
2025-03-16,125.98810577392578
2025-03-17,128.16371154785156
2025-03-18,125.31269836425781
2025-03-19,135.572509765625
2025-03-20,127.49718475341797
2025-03-21,128.43031311035156
2025-03-22,128.4849853515625
2025-03-23,132.5993194580078
2025-03-24,140.86927795410156
2025-03-25,143.81707763671875
2025-03-26,137.28857421875
2025-03-27,138.34738159179688
2025-03-28,129.42315673828125
2025-03-29,124.587646484375
2025-03-30,124.64263153076172
2025-03-31,124.69412994384766
2025-04-01,126.68238067626953
2025-04-02,127.50772857666016
